"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.817458346E-3,-4.105961609E-1,-9.058712311E0,-1.067729645E0,9.130657399E0
1.373945834E-2,-2.897973633E-1,-7.851772156E0,-9.386979675E-1,7.912993262E0
2.366145834E-2,-3.338058472E-1,-4.086053009E0,-9.160949707E-1,4.200772016E0
3.358445835E-2,4.505630493E-2,2.192041626E0,-8.523275757E-1,2.352347520E0
4.350645834E-2,7.008425903E-1,7.278614044E0,-3.598516846E-1,7.321126688E0
5.342845834E-2,-6.870712280E-2,4.688101044E0,3.088078308E-1,4.698763065E0
6.335045834E-2,-9.542655945E-1,1.403032379E0,-4.610412598E-2,1.697424011E0
7.327345834E-2,-9.370513916E-1,-1.056802368E-1,-4.073030090E-1,1.027194901E0
8.319545834E-2,-1.348246307E0,-3.315305786E0,-5.171745300E-1,3.616142981E0
9.311745834E-2,-2.287393341E0,-1.055170761E1,1.273851013E-1,1.079754272E1
1.030404583E-1,-1.784439240E0,-1.430455353E1,-2.082170105E-1,1.441692857E1
1.129624583E-1,-6.713539124E-1,-1.752226227E1,-4.272116089E-1,1.754032214E1
1.228844583E-1,6.203100586E-1,-1.456770630E1,-1.181642761E0,1.462870914E1
1.328074583E-1,-5.119354248E-2,-2.037383240E1,-6.083349609E-1,2.038297669E1
1.427294583E-1,4.112098846E0,-2.524006302E1,3.974235535E-1,2.557592781E1
1.526514583E-1,6.779701538E0,-2.111598907E1,-6.819818115E-1,2.218816006E1
1.625744583E-1,4.100572815E0,-1.392958328E1,2.092648315E-1,1.452211347E1
1.724964583E-1,-3.022215271E-1,-1.343845459E1,8.068222046E-1,1.346604477E1
1.824184583E-1,-1.385369110E0,-1.446112793E1,-1.901046753E-2,1.452734766E1
1.923414583E-1,-9.355545044E-1,-1.386910904E1,-3.580554199E-1,1.390523827E1
2.022634583E-1,-1.415905609E0,-1.497396149E1,-7.740403748E-1,1.506065901E1
2.121854583E-1,-6.906637573E-1,-1.314117279E1,-1.136287079E0,1.320827722E1
2.221074583E-1,-1.050216064E0,-1.104358475E1,-1.197210388E0,1.115782374E1
2.320304583E-1,-1.387614441E0,-1.059811111E1,-1.072519684E0,1.074224053E1
2.419524583E-1,-1.098565521E0,-1.066562073E1,-6.638694763E-1,1.074258043E1
2.518744583E-1,-7.441026306E-1,-1.044842239E1,-1.330732727E-1,1.047573042E1
2.617974583E-1,-8.542735291E-1,-1.021580612E1,1.428030396E-1,1.025245681E1
2.717194583E-1,-1.137185211E0,-9.944869537E0,4.954696655E-2,1.000979896E1
2.816414583E-1,-1.519939270E0,-9.816735992E0,-1.893562317E-1,9.935510893E0
2.915644583E-1,-1.804347839E0,-9.837243347E0,-4.168830872E-1,1.001003593E1
3.014864583E-1,-1.850302277E0,-9.966125336E0,-5.520520020E-1,1.015145478E1
3.114084583E-1,-1.792672119E0,-1.009306137E1,-6.301895142E-1,1.027037974E1
3.213314583E-1,-1.772464142E0,-1.020023849E1,-7.066804504E-1,1.037718130E1
3.312534583E-1,-1.772613831E0,-1.010773087E1,-7.018904114E-1,1.028596292E1
3.411754583E-1,-1.616189117E0,-1.000205063E1,-6.399192810E-1,1.015197423E1
3.510974583E-1,-1.496438141E0,-9.848919067E0,-5.764512634E-1,9.978618640E0
3.610204583E-1,-1.479822693E0,-9.627828827E0,-4.713697815E-1,9.752289608E0
3.709424583E-1,-1.306632843E0,-9.245673523E0,-3.487747192E-1,9.344057581E0
3.808644583E-1,-9.131011963E-1,-8.930578766E0,-2.725831604E-1,8.981274546E0
3.907874583E-1,-6.246510315E-1,-8.970695343E0,-2.924917603E-1,8.997172627E0
4.007094583E-1,-7.911048889E-1,-9.313332825E0,-4.044589233E-1,9.355618754E0
4.106314583E-1,-1.003213806E0,-9.398056641E0,-6.463558960E-1,9.473525347E0
4.205544583E-1,-1.030457153E0,-9.409582672E0,-7.545808411E-1,9.495866483E0
4.304764583E-1,-1.037342834E0,-9.599986725E0,-7.876620483E-1,9.687942856E0
4.403984583E-1,-1.131646729E0,-9.785001984E0,-7.104226685E-1,9.875808246E0
4.503214583E-1,-1.305734711E0,-9.747729492E0,-5.927673340E-1,9.852641600E0
4.602434583E-1,-1.403481445E0,-9.802066498E0,-5.304968262E-1,9.916233896E0
4.701654583E-1,-1.465153198E0,-9.878557434E0,-5.131329346E-1,9.999793812E0
4.800874583E-1,-1.465602264E0,-9.792037354E0,-5.372328186E-1,9.915674694E0
4.900104583E-1,-1.358125763E0,-9.893675995E0,-5.469625854E-1,1.000142482E1
4.999324583E-1,-1.312770081E0,-1.012793884E1,-5.492079163E-1,1.022742098E1
5.098544583E-1,-1.167272644E0,-1.025846741E1,-6.065386963E-1,1.034246432E1
5.197774583E-1,-1.134939880E0,-1.008931915E1,-6.358776855E-1,1.017284571E1
5.296994583E-1,-1.271905060E0,-9.788444824E0,-7.447013855E-1,9.898786527E0
